category,price,area,rooms,baths,garages,stratification,latitude,longitude,management_fee
-1,9300000000,2000,5,5,4,6,4.677906513214111,-74.04391479492188,0
-1,6000000000,1170,4,5,4,6,4.695704460144043,-74.0377197265625,0
-1,2100000000,1000,4,4,3,5,4.7664618492126465,-74.06568145751953,1000000
-1,2700000000,900,1,0,0,3,4.6659055,-74.14095873,0
-1,4500000000,850,1,4,0,6,4.67084245,-74.04285587,0
-1,3500000000,830,4,5,4,6,4.68567991256714,-74.0307769775391,0
-1,1700000000,825,4,5,2,5,4.762704849243164,-74.06433868408203,650000
-1,2200000000,800,5,5,4,4,4.737370014190674,-74.04118347167969,0
-1,3000000000,800,5,5,4,4,4.635028839111328,-74.062744140625,0
-1,3900000000,753,3,5,4,6,4.686933994293213,-74.03019714355469,1000000
-1,11000000000,750,4,5,0,6,4.68826858,-74.0287417,0
-1,2800000000,700,4,7,8,5,4.7645583152771,-74.0634231567383,700000
-1,4990000000,700,4,3,3,0,4.68684263,-74.02984224,0
-1,2380000000,700,5,2,2,4,4.621017932891846,-74.07085418701172,0
-1,2000000000,700,5,5,3,3,4.625387668609619,-74.07310485839844,0
-1,1650000000,693,4,3,2,4,4.62577402,-74.07601634,0
-1,2500000000,680,4,5,0,6,4.76709055,-74.06381813,600000
-1,1800000000,678,14,10,0,4,4.69858980178833,-74.1172866821289,0
-1,2990000000,650,1,0,0,5,4.68308529,-74.06215608,0
-1,6840000000,650,4,4,4,6,4.684303283691406,-74.05415344238281,0
1,3600000000,647,4,5,3,6,4.59200239181519,-74.0712280273438,1500000
1,3300000000,647,4,5,3,6,4.59200239181519,-74.0712280273438,1500000
-1,3200000000,644,1,0,0,4,4.65615725,-74.06107159,0
-1,3200000000,644,1,0,0,4,4.65615725,-74.06107159,0
-1,3200000000,641,1,5,0,4,4.65615725,-74.06107159,0
-1,3200500000,641,1,5,0,4,4.65615725,-74.06107159,0
-1,3200500000,641,1,5,0,4,4.65615725,-74.06107159,0
-1,5000000000,630,4,0,0,6,4.68567403,-74.03077948,0
-1,2700000000,600,4,5,4,5,4.764416217803955,-74.06330108642578,500000
-1,2600000000,600,4,5,4,6,4.76404472,-74.06934344,650000
-1,3800000000,600,3,4,2,6,4.684999465942383,-74.03121185302734,360000
-1,1500000000,600,5,5,0,2,4.76329423,-74.06576219,300000
-1,2650500000,600,4,5,4,6,4.76404472,-74.06934344,650000
-1,2650000000,600,4,5,4,6,4.76404472,-74.06934344,650000
-1,1500000000,595,5,5,2,4,4.62055071,-74.06527282,0
1,5600000000,590,4,6,5,6,4.71655368804932,-74.0270385742188,2800000
-1,4100000000,588,3,5,4,6,4.724829196929932,-74.08214569091797,1100000
-1,3000000000,580,5,5,4,6,4.712344169616699,-74.07814025878906,1000000
-1,3000000000,580,5,5,4,6,4.712344169616699,-74.07814025878906,1000000
-1,3000000000,580,7,8,4,6,4.7399377822876,-74.0875015258789,1000000
-1,3000000000,580,5,5,4,6,4.710153102874756,-74.07814025878906,1000000
-1,3000000000,580,5,5,4,6,4.714570999145508,-74.07803344726562,1000000
-1,3000000000,580,5,5,4,6,4.712082386016846,-74.07964324951172,1000000
-1,1600000000,575,0,0,0,4,4.67462701,-74.08804987,10000
-1,3850000000,563,8,4,6,3,4.65521812438965,-74.0652770996094,0
-1,3800000000,561,5,4,0,3,4.65544764,-74.06549359,0
-1,3800000000,561,1,4,0,0,4.65544764,-74.06549359,0
-1,1500000000,560,5,5,2,3,4.72153369,-74.05539726,0
-1,2500000000,558,3,2,0,3,4.6557972,-74.07549484,0
-1,2700000000,550,4,5,4,5,4.764416217803955,-74.06330108642578,500000
-1,2100000000,550,4,5,4,5,4.770925521850586,-74.06302642822266,720000
-1,2200000000,550,5,4,2,5,4.688360214233398,-74.03661346435547,70000
-1,3000000000,546,5,5,4,6,4.658111095428467,-74.04967498779297,0
-1,3219000000,536,1,0,0,4,4.65677426,-74.06056847,0
-1,1500000000,535,3,3,2,5,4.63987185,-74.05796829,0
-1,3400000000,533,5,5,4,6,4.67395305633545,-74.0869903564453,363000
-1,1299000900,532,4,5,4,4,4.71150602,-74.07721244,280000
-1,1299000900,532,4,5,4,5,4.71157026290894,-74.077262878418,280000
